user_id,course_id,enrolment-date,country,date_joined,grade,date_earned,joined_time,enrolment_time,earned_time,organisation,course_number,modules_attempted
27,course-v1,2024-09-24 11:23:19.142,,2024-09-24 11:21:00.566,0.0,,11:21:00,11:23:19,,UGA,MC35v1,0
29,course-v1,2024-10-22 19:53:58.267,,2024-09-25 08:12:34.667,0.0,,08:12:34,19:53:58,,DTU,MC28v1,60
29,course-v1,2024-09-25 08:18:49.991,,2024-09-25 08:12:34.667,0.0,2024-10-04 20:49:27.110,08:12:34,08:18:49,20:49:27,UPV,MC17v1,71
31,course-v1,2024-10-02 23:19:39.102,,2024-10-02 23:16:31.001,0.0,,23:16:31,23:19:39,,Res4City,EAB,0
31,course-v1,2024-10-02 23:20:06.242,,2024-10-02 23:16:31.001,0.0,,23:16:31,23:20:06,,Res4City,ECA,0
31,course-v1,2024-10-02 23:18:48.712,,2024-10-02 23:16:31.001,0.0,,23:16:31,23:18:48,,UCOI,MC12v1,0
32,course-v1,2025-01-06 09:19:42.774,,2024-10-08 08:47:22.767,0.0,2025-01-09 13:45:10.726,08:47:22,09:19:42,13:45:10,UGA,MC34v1,55
33,course-v1,2024-10-08 12:25:19.423,,2024-10-08 11:56:41.540,0.0,,11:56:41,12:25:19,,NUIM,IVI001,0
33,course-v1,2024-10-08 12:21:13.996,,2024-10-08 11:56:41.540,0.0,,11:56:41,12:21:13,,UCOI,MC12v1,26
34,course-v1,2024-10-22 08:13:40.352,,2024-10-10 08:31:24.875,0.0,,08:31:24,08:13:40,,HU,MC41v1,89
34,course-v1,2024-10-10 08:32:29.637,,2024-10-10 08:31:24.875,0.0,,08:31:24,08:32:29,,UGA,MC34v1,57
35,course-v1,2024-10-11 10:35:21.558,,2024-10-11 10:26:37.057,0.0,,10:26:37,10:35:21,,HU,MC41v1,1
43,course-v1,2024-10-19 08:16:43.253,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 08:31:58.027,05:36:15,08:16:43,08:31:58,DTU,MC27v1,45
43,course-v1,2024-10-16 10:14:26.793,BQ,2024-10-12 05:36:15.440,0.0,2024-10-16 11:08:10.729,05:36:15,10:14:26,11:08:10,DTU,MC28v1,48
43,course-v1,2024-10-15 13:50:51.262,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,13:50:51,,DTU,MC30v1,35
43,course-v1,2024-10-19 08:32:30.334,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 08:39:04.394,05:36:15,08:32:30,08:39:04,DTU,MC31v1,20
43,course-v1,2024-10-16 11:11:35.438,BQ,2024-10-12 05:36:15.440,0.0,2024-10-16 11:50:28.306,05:36:15,11:11:35,11:50:28,DTU,MC32v1,32
43,course-v1,2024-10-18 09:58:02.852,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,09:58:02,,HU,MC39v1,10
43,course-v1,2024-10-16 06:41:28.084,BQ,2024-10-12 05:36:15.440,0.0,2024-10-16 07:44:28.631,05:36:15,06:41:28,07:44:28,HU,MC40v1,55
43,course-v1,2024-10-21 06:08:46.642,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,06:08:46,,HU,MC41v1,73
43,course-v1,2024-10-16 15:19:12.566,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,15:19:12,,HU,MC43v1,1
43,course-v1,2024-10-16 12:01:49.946,BQ,2024-10-12 05:36:15.440,0.0,2024-10-18 04:32:34.798,05:36:15,12:01:49,04:32:34,HU,MC44v1,55
43,course-v1,2024-10-12 07:29:52.817,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,07:29:52,,NUIM,IVI001,0
43,course-v1,2024-10-19 08:55:47.852,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 09:06:37.840,05:36:15,08:55:47,09:06:37,NUIM,MC01v1,44
43,course-v1,2024-10-18 04:33:26.695,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 07:06:49.449,05:36:15,04:33:26,07:06:49,NUIM,MC02v1,135
43,course-v1,2024-10-12 12:41:14.045,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,12:41:14,,NUIM,MC05v1,42
43,course-v1,2025-01-02 11:11:38.972,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,11:11:38,,NUIM,MC06v1,1
43,course-v1,2024-10-21 13:28:39.308,BQ,2024-10-12 05:36:15.440,0.0,2025-01-02 07:26:43.565,05:36:15,13:28:39,07:26:43,UCOI,MC11v1,41
43,course-v1,2025-01-02 11:14:13.201,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,11:14:13,,UCOI,MC12v1,42
43,course-v1,2024-10-12 08:04:37.529,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,08:04:37,,UCOI,MC13v1,13
43,course-v1,2024-10-12 13:37:40.556,BQ,2024-10-12 05:36:15.440,0.0,2024-10-14 14:11:44.075,05:36:15,13:37:40,14:11:44,UCOI,MC14v1,49
43,course-v1,2024-10-12 12:40:48.540,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,12:40:48,,UCOI,MC15v1,0
43,course-v1,2024-10-19 08:39:26.234,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 08:55:25.194,05:36:15,08:39:26,08:55:25,UCOI,MC16v1,43
43,course-v1,2024-10-14 13:13:09.825,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,13:13:09,,UGA,MC33v1,0
43,course-v1,2025-01-02 11:07:36.455,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,11:07:36,,UGA,MC34v1,0
43,course-v1,2024-12-24 06:57:02.405,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,06:57:02,,UGA,MC37v1,45
43,course-v1,2024-10-23 06:46:47.388,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,06:46:47,,UGA,MC38v1,1
43,course-v1,2024-10-16 13:34:15.398,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,13:34:15,,UNIPAR,MC07v1,4
43,course-v1,2024-10-15 10:11:49.513,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,10:11:49,,UNIPAR,MC08v1,17
43,course-v1,2024-10-19 07:40:30.156,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 08:12:23.835,05:36:15,07:40:30,08:12:23,UNISS,MC22v1,52
43,course-v1,2024-10-19 07:07:10.736,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 07:40:06.218,05:36:15,07:07:10,07:40:06,UNISS,MC23v1,53
43,course-v1,2024-10-12 08:07:44.767,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,08:07:44,,UNISS,MC24v1,1
43,course-v1,2024-10-19 09:09:26.828,BQ,2024-10-12 05:36:15.440,0.0,2024-10-19 09:16:34.346,05:36:15,09:09:26,09:16:34,UNISS,MC25v1,30
43,course-v1,2024-12-24 05:43:09.391,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,05:43:09,,UNISS,MC26v2,104
43,course-v1,2024-10-14 11:18:31.465,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,11:18:31,,UPV,MC18v1,16
43,course-v1,2024-10-16 07:48:15.806,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,07:48:15,,UPV,MC19v1,83
43,course-v1,2024-10-14 13:13:28.003,BQ,2024-10-12 05:36:15.440,0.0,,05:36:15,13:13:28,,UPV,MC21v1,0
44,course-v1,2024-10-14 12:55:23.054,,2024-10-14 12:55:13.396,0.0,,12:55:13,12:55:23,,DTU,MC30v1,1
46,course-v1,2024-10-15 06:10:25.790,BS,2024-10-15 04:30:31.739,0.0,,04:30:31,06:10:25,,HU,MC42v1,2
46,course-v1,2024-10-15 06:03:43.369,BS,2024-10-15 04:30:31.739,0.0,,04:30:31,06:03:43,,NUIM,IVI001,0
46,course-v1,2024-10-15 06:25:40.771,BS,2024-10-15 04:30:31.739,0.0,,04:30:31,06:25:40,,UCOI,MC13v1,0
46,course-v1,2024-10-15 06:16:03.294,BS,2024-10-15 04:30:31.739,0.0,,04:30:31,06:16:03,,UNIPAR,MC07v1,0
54,course-v1,2024-10-15 19:32:07.765,,2024-10-15 19:31:35.511,0.0,,19:31:35,19:32:07,,UCOI,MC14v1,1
55,course-v1,2024-10-17 12:18:57.502,,2024-10-16 11:25:41.115,0.0,,11:25:41,12:18:57,,HU,MC42v1,68
55,course-v1,2024-10-17 09:00:51.063,,2024-10-16 11:25:41.115,0.0,,11:25:41,09:00:51,,UCOI,MC14v1,27
59,course-v1,2024-10-20 10:10:35.755,,2024-10-17 10:09:54.512,0.0,,10:09:54,10:10:35,,UGA,MC38v1,34
59,course-v1,2024-10-20 08:38:58.335,,2024-10-17 10:09:54.512,0.0,,10:09:54,08:38:58,,UPV,MC17v1,14
60,course-v1,2024-10-17 10:25:23.027,,2024-10-17 10:25:08.468,0.0,2024-10-18 14:14:53.516,10:25:08,10:25:23,14:14:53,UGA,MC35v1,38
60,course-v1,2024-10-18 14:19:34.958,,2024-10-17 10:25:08.468,0.0,,10:25:08,14:19:34,,UGA,MC36v1,38
68,course-v1,2024-10-21 11:21:10.653,,2024-10-21 11:00:12.875,0.0,,11:00:12,11:21:10,,UNIPAR,MC07v1,0
74,course-v1,2024-10-26 03:28:21.982,FR,2024-10-26 03:27:40.534,0.0,,03:27:40,03:28:21,,UGA,MC34v1,0
76,course-v1,2024-10-31 06:30:31.178,BG,2024-10-31 06:28:19.492,0.0,,06:28:19,06:30:31,,UCOI,MC12v1,0
77,course-v1,2024-11-06 11:36:03.089,IT,2024-11-06 11:35:52.117,0.0,,11:35:52,11:36:03,,UGA,MC33v1,14
81,course-v1,2024-11-07 11:51:41.343,BW,2024-11-07 11:50:28.842,0.0,,11:50:28,11:51:41,,UCOI,MC12v1,24
81,course-v1,2024-12-06 17:39:31.206,BW,2024-11-07 11:50:28.842,0.0,2024-12-12 15:21:33.045,11:50:28,17:39:31,15:21:33,UNIPAR,MC09v1,40
82,course-v1,2024-11-07 15:07:53.719,FR,2024-11-07 14:44:34.727,0.0,,14:44:34,15:07:53,,UCOI,MC12v1,5
82,course-v1,2024-11-07 14:45:01.625,FR,2024-11-07 14:44:34.727,0.0,,14:44:34,14:45:01,,UCOI,MC13v1,1
83,course-v1,2024-11-07 16:32:06.309,GB,2024-11-07 16:27:56.423,0.0,,16:27:56,16:32:06,,HU,MC44v1,0
85,course-v1,2024-11-09 00:16:15.793,PT,2024-11-09 00:16:03.199,0.0,,00:16:03,00:16:15,,HU,MC44v1,21
86,course-v1,2024-11-11 11:56:43.165,BE,2024-11-11 11:52:48.772,0.0,,11:52:48,11:56:43,,HU,MC43v1,0
87,course-v1,2024-11-11 12:22:00.865,IE,2024-11-11 12:20:44.318,0.0,,12:20:44,12:22:00,,UPV,MC20v1,31
88,course-v1,2024-11-11 15:43:59.893,IE,2024-11-11 15:39:40.219,0.0,,15:39:40,15:43:59,,NUIM,MC02v1,0
89,course-v1,2024-11-12 09:06:11.890,IE,2024-11-12 09:06:07.551,0.0,2024-11-12 09:21:29.820,09:06:07,09:06:11,09:21:29,HU,MC44v1,53
90,course-v1,2024-11-12 10:28:30.540,IE,2024-11-12 10:28:21.098,0.0,2024-11-12 10:44:21.649,10:28:21,10:28:30,10:44:21,HU,MC44v1,53
91,course-v1,2024-11-12 11:15:18.647,IE,2024-11-12 11:12:34.062,0.0,2024-11-12 14:28:48.420,11:12:34,11:15:18,14:28:48,HU,MC44v1,65
92,course-v1,2024-11-12 11:42:34.048,ES,2024-11-12 11:42:28.940,0.0,2024-11-29 23:13:24.440,11:42:28,11:42:34,23:13:24,HU,MC44v1,67
93,course-v1,2024-11-12 11:42:45.630,IE,2024-11-12 11:42:39.377,0.0,2024-11-30 00:02:22.589,11:42:39,11:42:45,00:02:22,HU,MC44v1,67
94,course-v1,2024-11-12 13:38:42.553,IE,2024-11-12 12:08:41.231,0.0,2024-11-19 17:03:06.801,12:08:41,13:38:42,17:03:06,HU,MC44v1,64
95,course-v1,2024-11-12 12:10:24.923,IE,2024-11-12 12:08:49.153,0.0,2024-11-18 21:15:50.072,12:08:49,12:10:24,21:15:50,HU,MC44v1,67
96,course-v1,2024-11-12 12:17:02.614,IE,2024-11-12 12:09:13.568,0.0,2024-11-22 13:29:02.286,12:09:13,12:17:02,13:29:02,HU,MC44v1,67
97,course-v1,2024-11-12 12:10:21.299,IE,2024-11-12 12:10:11.791,0.0,2024-11-12 21:22:20.974,12:10:11,12:10:21,21:22:20,HU,MC44v1,66
98,course-v1,2024-11-12 12:11:05.521,IE,2024-11-12 12:10:19.375,0.0,2024-11-21 21:28:28.251,12:10:19,12:11:05,21:28:28,HU,MC44v1,67
